jobid,jobtitle,company,location,url,updatedatetime
4404083753,IT Business Partner,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4404083753,2026-04-25 17:50:56
4399892075,"Operations Program Manager, Devices Operations & Supply Chain",Amazon,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4399892075,2026-04-25 16:36:36
4341996958,Customer Solution Senior Engineer,Molex,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4341996958,2026-04-25 16:36:36
4403436180,"Operations Program Manager, Global Operations Devices, Services & Systems",Amazon,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4403436180,2026-04-25 16:37:07
4393973906,"Software Development Engineer, Alexa and Echo Devices",Amazon Lab126,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4393973906,2026-04-25 14:30:05
4398010850,Lead Manufacture Engineer,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398010850,2026-04-25 16:37:38
4398005978,Computer Engineer,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398005978,2026-04-25 16:37:38
4398024310,Technical Project Manager,GE HealthCare,"Shijiazhuang, Hebei, China (On-site)",https://www.linkedin.com/jobs/view/4398024310,2026-04-25 16:38:11
4398025106,"Lead Engineer, Mechanical",GE HealthCare,"Tianjin, Tianjin, China (On-site)",https://www.linkedin.com/jobs/view/4398025106,2026-04-25 16:37:39
4398008977,Technical Project Manager,GE HealthCare,"Tianjin, Tianjin, China (On-site)",https://www.linkedin.com/jobs/view/4398008977,2026-04-25 16:38:11
4398018610,Technical Project Manager,GE HealthCare,"Nanjing, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4398018610,2026-04-25 16:38:10
4398023249,Lead/Senior System Engineer,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398023249,2026-04-25 16:38:11
4398021531,Technical Project Manager,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4398021531,2026-04-25 16:38:10
4404089784,IT Business Partner,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4404089784,2026-04-25 16:38:11
4398010919,Technical Project Manager,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398010919,2026-04-25 16:38:10
4398014712,Technical Project Manager,GE HealthCare,"Wuhan, Hubei, China (On-site)",https://www.linkedin.com/jobs/view/4398014712,2026-04-25 16:38:11
4296765090,Tech lead - Frontend,Xsolla,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4296765090,2026-04-25 17:50:56
4402461535,Asso. Pharmaceutical Information Manager,myGwork - LGBTQ+ Business Community,"Zhongshan, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4402461535,2026-04-25 15:12:15
4399720383,Senior Field Application Engineer - Automotive Software and System,Analog Devices,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4399720383,2026-04-25 15:25:42
4398027054,Engineering Excellence Manager,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4398027054,2026-04-25 15:25:42
4395475406,Customer Program Manager - Auto,NVIDIA,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4395475406,2026-04-25 15:25:42
4399717338,Senior Field Application Engineer - Automotive Software and System,Analog Devices,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4399717338,2026-04-25 17:50:56
4404716554,"Technical Program Manager, Core Tech",Apple,"Suzhou, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4404716554,2026-04-25 16:37:07
4376052650,"Lead, BackEnd Eng, WRB Tech",Standard Chartered,"Guangzhou, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4376052650,2026-04-25 16:37:07
4359215470,Health Sensing EE Engineer,Apple,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4359215470,2026-04-25 17:50:56
4400495533,Sr. Packaging Engineer-Silicon Photonics Optical Engines,Analog Devices,"Pudong, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4400495533,2026-04-25 16:37:39
4404053210,Lead Electrical Engineer,GE HealthCare,"Wuxi, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4404053210,2026-04-25 16:37:08
4398019421,Sr. Software Engineer,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4398019421,2026-04-25 16:37:38
4398005968,AVS Region Strategic Project Manager,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398005968,2026-04-25 16:37:38
4398019492,MANUFACTURING PROCESS ENGINEER – TUBE,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398019492,2026-04-25 16:37:39
4398020416,Lead Electrical Engineer,GE HealthCare,"Tianjin, Tianjin, China (On-site)",https://www.linkedin.com/jobs/view/4398020416,2026-04-25 16:37:39
4404048403,CT Advanced Application Specialist,GE HealthCare,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4404048403,2026-04-25 16:37:39
4404039524,Lead Service Engineer,GE HealthCare,"Wuxi, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4404039524,2026-04-25 16:37:39
4398012707,Lead PQ Engineer,GE HealthCare,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4398012707,2026-04-25 16:37:39
4398007848,Senior Engineer- Technical Regulation and Standard （Chemical Substance）,GE HealthCare,Changzhou-Wuxi-Suzhou Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4398007848,2026-04-25 16:37:39
4400534780,Leader Electrical Engineer,GE HealthCare,Changzhou-Wuxi-Suzhou Metropolitan Area (On-site),https://www.linkedin.com/jobs/view/4400534780,2026-04-25 16:37:08
4405666597,Manufacture engineer - Welding,GE HealthCare,"Tianjin, Tianjin, China (On-site)",https://www.linkedin.com/jobs/view/4405666597,2026-04-25 16:37:39
4398007861,Probe Electrical Engineer,GE HealthCare,"Wuxi, Jiangsu, China (On-site)",https://www.linkedin.com/jobs/view/4398007861,2026-04-25 16:37:08
4398022371,Technical Project Manager,GE HealthCare,"Zhengzhou, Henan, China (On-site)",https://www.linkedin.com/jobs/view/4398022371,2026-04-25 16:38:10
4353755217,Lead Specialist D&T Business Analyst S&R and Labs,dsm-firmenich,"Minhang District, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4353755217,2026-04-25 17:50:25
4394350794,"(Senior) Manager, Virtual Medical Science Liaison",Eli Lilly and Company,"Shanghai, Shanghai, China (Remote)",https://www.linkedin.com/jobs/view/4394350794,2026-04-25 15:24:40
4393408984,"Data Engineer, Health Research Data",Apple,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4393408984,2026-04-25 15:24:40
4399150113,"AVP, Engineering Lead, WRB Tech",Standard Chartered,"Tianjin, Tianjin, China (On-site)",https://www.linkedin.com/jobs/view/4399150113,2026-04-25 15:24:40
4387801758,Tech Service Quality Engineer,Cabot Corporation,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4387801758,2026-04-25 15:24:40
4404988581,Customer Program Manager-OMS,DHL Global Forwarding,"Chengdu, Sichuan, China (On-site)",https://www.linkedin.com/jobs/view/4404988581,2026-04-25 17:50:56
4397802374,BPM（Business Project Manager）,Biel Crystal,"Huizhou, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4397802374,2026-04-25 15:24:41
4356473937,"Analyst, Business Systems",Molex,"Shijie, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4356473937,2026-04-25 15:24:41
4393978689,"Software Development Engineer, Alexa and Echo Devices",Amazon Lab126,"Shenzhen, Guangdong, China (On-site)",https://www.linkedin.com/jobs/view/4393978689,2026-04-25 15:24:41
4383772988,"Software Development Engineer, Amazon Video, Prime Video Devices-BD Tech & Product",Prime Video & Amazon MGM Studios,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4383772988,2026-04-25 15:24:41
4365278312,"Senior Finance Project Manager – New Business Initiative (Bangkok Based, Relocation Provided)",Agoda,"Beijing, Beijing, China (On-site)",https://www.linkedin.com/jobs/view/4365278312,2026-04-25 15:24:41
4369202302,Field Customer Support Engineer,F5,"Beijing, Beijing, China (Hybrid)",https://www.linkedin.com/jobs/view/4369202302,2026-04-25 15:24:41
4268549280,Head of Test Bench Customer Solution Center (China),FORVIA HELLA,"Xiamen, Fujian, China (Hybrid)",https://www.linkedin.com/jobs/view/4268549280,2026-04-25 15:24:41
4350910979,Consumer Data Manager - Shanghai,VIVADATA,"Shanghai, Shanghai, China (On-site)",https://www.linkedin.com/jobs/view/4350910979,2026-04-25 15:24:41
